canal_1,canal_2,canal_3,canal_4,label
502.0,510.0,538.0,526.0,5
512.0,499.0,521.0,537.0,5
513.0,498.0,507.0,529.0,5
510.0,497.0,506.0,534.0,5
507.0,495.0,517.0,541.0,5
511.0,498.0,522.0,537.0,5
509.0,504.0,514.0,529.0,5
509.0,504.0,503.0,523.0,5
507.0,498.0,510.0,529.0,5
509.0,499.0,523.0,540.0,5
507.0,496.0,517.0,536.0,5
507.0,501.0,507.0,532.0,5
506.0,505.0,511.0,528.0,5
509.0,502.0,523.0,528.0,5
513.0,500.0,525.0,531.0,5
509.0,502.0,509.0,530.0,5
505.0,501.0,500.0,526.0,5
501.0,505.0,526.0,500.0,5
507.0,502.0,514.0,537.0,5
514.0,507.0,531.0,535.0,5
509.0,501.0,517.0,526.0,5
505.0,497.0,502.0,529.0,5
505.0,500.0,509.0,531.0,5
507.0,495.0,520.0,537.0,5
515.0,503.0,523.0,531.0,5
510.0,501.0,512.0,531.0,5
507.0,503.0,506.0,530.0,5
506.0,501.0,521.0,533.0,5
509.0,504.0,535.0,534.0,5
508.0,508.0,515.0,526.0,5
504.0,502.0,498.0,526.0,5
505.0,502.0,512.0,536.0,5
508.0,502.0,524.0,531.0,5
511.0,502.0,525.0,529.0,5
502.0,511.0,529.0,525.0,5
508.0,507.0,506.0,521.0,5
510.0,504.0,501.0,524.0,5
510.0,501.0,523.0,536.0,5
514.0,500.0,526.0,539.0,5
513.0,503.0,514.0,530.0,5
508.0,504.0,503.0,524.0,5
507.0,500.0,519.0,536.0,5
509.0,497.0,537.0,532.0,5
510.0,502.0,526.0,527.0,5
512.0,501.0,507.0,525.0,5
509.0,503.0,506.0,524.0,5
509.0,501.0,525.0,533.0,5
511.0,500.0,525.0,536.0,5
509.0,502.0,513.0,531.0,5
506.0,505.0,508.0,527.0,5
507.0,503.0,520.0,537.0,5
503.0,507.0,537.0,520.0,5
511.0,500.0,532.0,538.0,5
507.0,504.0,524.0,524.0,5
508.0,504.0,505.0,523.0,5
508.0,504.0,512.0,531.0,5
503.0,501.0,527.0,533.0,5
510.0,498.0,520.0,534.0,5
507.0,499.0,507.0,528.0,5
506.0,503.0,511.0,522.0,5
505.0,501.0,521.0,531.0,5
506.0,500.0,522.0,531.0,5
508.0,505.0,511.0,525.0,5
505.0,501.0,501.0,526.0,5
504.0,499.0,515.0,525.0,5
508.0,499.0,530.0,535.0,5
507.0,497.0,518.0,531.0,5
505.0,502.0,500.0,521.0,5
507.0,508.0,530.0,501.0,5
510.0,502.0,519.0,531.0,5
511.0,502.0,524.0,530.0,5
509.0,507.0,510.0,525.0,5
505.0,505.0,500.0,522.0,5
503.0,501.0,512.0,528.0,5
511.0,499.0,530.0,530.0,5
511.0,509.0,515.0,521.0,5
505.0,504.0,505.0,523.0,5
504.0,506.0,506.0,524.0,5
502.0,504.0,522.0,530.0,5
504.0,497.0,528.0,523.0,5
509.0,505.0,509.0,520.0,5
507.0,508.0,506.0,526.0,5
508.0,501.0,514.0,529.0,5
509.0,502.0,525.0,525.0,5
510.0,511.0,516.0,517.0,5
511.0,510.0,517.0,516.0,5
509.0,505.0,504.0,521.0,5
508.0,500.0,511.0,527.0,5
512.0,500.0,527.0,532.0,5
515.0,501.0,533.0,528.0,5
515.0,509.0,508.0,524.0,5
509.0,508.0,506.0,527.0,5
507.0,507.0,525.0,530.0,5
505.0,502.0,525.0,527.0,5
512.0,499.0,519.0,527.0,5
510.0,504.0,506.0,525.0,5
506.0,503.0,514.0,532.0,5
505.0,501.0,526.0,528.0,5
509.0,506.0,520.0,522.0,5
509.0,502.0,502.0,517.0,5
509.0,501.0,508.0,519.0,5
509.0,503.0,519.0,525.0,5
503.0,509.0,525.0,519.0,5
513.0,508.0,521.0,526.0,5
512.0,503.0,504.0,520.0,5
506.0,498.0,496.0,517.0,5
508.0,498.0,513.0,530.0,5
506.0,493.0,524.0,529.0,5
507.0,502.0,516.0,520.0,5
508.0,506.0,499.0,520.0,5
508.0,505.0,506.0,524.0,5
510.0,505.0,524.0,530.0,5
515.0,504.0,522.0,525.0,5
513.0,505.0,504.0,519.0,5
511.0,509.0,506.0,521.0,5
511.0,502.0,519.0,528.0,5
514.0,501.0,525.0,533.0,5
515.0,504.0,514.0,520.0,5
509.0,511.0,499.0,518.0,5
511.0,509.0,518.0,499.0,5
508.0,506.0,507.0,525.0,5
513.0,498.0,522.0,530.0,5
509.0,502.0,524.0,525.0,5
507.0,501.0,501.0,519.0,5
508.0,505.0,504.0,523.0,5
507.0,506.0,522.0,527.0,5
510.0,501.0,519.0,525.0,5
509.0,502.0,512.0,524.0,5
511.0,506.0,500.0,522.0,5
512.0,502.0,515.0,533.0,5
515.0,503.0,524.0,535.0,5
514.0,506.0,520.0,527.0,5
509.0,501.0,506.0,528.0,5
512.0,500.0,506.0,530.0,5
509.0,500.0,522.0,532.0,5
513.0,502.0,522.0,529.0,5
502.0,513.0,529.0,522.0,5
507.0,507.0,514.0,525.0,5
508.0,505.0,502.0,522.0,5
514.0,497.0,518.0,530.0,5
513.0,500.0,527.0,529.0,5
513.0,502.0,516.0,521.0,5
511.0,500.0,500.0,524.0,5
509.0,507.0,507.0,529.0,5
511.0,503.0,522.0,527.0,5
514.0,497.0,521.0,527.0,5
511.0,501.0,507.0,520.0,5
512.0,507.0,500.0,526.0,5
513.0,507.0,515.0,530.0,5
509.0,496.0,521.0,528.0,5
510.0,503.0,514.0,524.0,5
505.0,502.0,503.0,522.0,5
510.0,501.0,511.0,529.0,5
501.0,510.0,529.0,511.0,5
513.0,501.0,527.0,531.0,5
508.0,501.0,518.0,524.0,5
513.0,502.0,502.0,521.0,5
508.0,506.0,505.0,530.0,5
514.0,504.0,528.0,535.0,5
516.0,498.0,526.0,531.0,5
